kalibratori: name, RA, HH MM SS.sss,DEC deg min sec.sss;;
3C48;01 37 41.2995845985;+33 09 35.079126038
3C123;04 37 04.3753;+29 40 13.819
3C138;05 21 09.8856800194;+16 38 22.058653413
3C144;05 34 31.94;+22 00 52.2
3C147;05 42 36.1380462;+49 51 07.234771
3C196;08 13 36.056090;+48 13 02.63597
3C218;09 18 05.651;-12 05 43.99
3C286;13 31 08.2883035;+30 30 32.962130
3C295;14 11 20.467;+52 12 09.52
3C348;16 51 08.024;+04 59 34.91
3C380;18 29 31.7812801678;+48 44 46.158815781
3C405;19 59 28.35663;+40 44 02.0970
3C444;22 14 25.752;-17 01 36.29
