Source,Ra,Dec
g108p6,225238.6,600056.0
firs2,214301.67,660323.7
g78p12,201425.88,411336.87
oh43p8,191154.2,093555.0
g173p48,053910.4,354519.00
g37p55,185909.986,41215.6
ngc2071,054709.8,001800.0
g107p3,222126.81,635137.14
laha234,214306.823,660654.24
cepa,225617.90,620149.7
g22p357,183144.12,-092212.3
g25p65,183421.99,-055938.6
g30p99,184810.80,-014539.3
g32p745,185121.87,-001205.3
g33p64,185332.56,003139.2
g35p20,190146.90,011307.5
g37p479,190007.14,035953.3
g49p57,192353.60,143454.0
w49n,191011.05,090520.4
w51,192343.96,143035.0
g50p03,192115.10,152649.5
g59p783,194311.25,234403.3
g60p57,194552.30,241742.6
g73p06,200810.20,355923.7
g75p78,202144.20,372636.7
g78p122,201426.04,411333.4
g85p41,205413.70,445406.8
g90p92,210912.60,500102.9
g111p26,231610.00,595531.3
v645,213958.26,501420.9
l1206,222851.41,641341.3
l1287,003647.35,632902.2
ngc281,005224.20,563343.2
w75n,203836.45,423736.1
w75s,203902.50,422459.0
dr20,203700.10,413455.7
dr21,203901.05,422249.2
ngc7538,231345.36,612810.6
w3oh,022703.82,615225.4
g136p84,024929.80,604729.5
g49p04,192522.30,134720.1
afgl5142,053048.01,334754.6
s231,053913.06,354551.3
g188p79,060906.90,215041.7
g183p35,055111.10,254616.5
afgl6366,060840.67,213106.9
s252a,060832.40,203925.3
s252,060853.34,213829.2
s255,061254.02,175923.3
s269,061437.05,133936.2
g353p94,163222.56,-242831.8
g36p7,185759.123,032406.11
g174p20,053045.9,334756.0
g43p79,191154.016,093549.46
g34p403,185318.00,012524.55
on1,201009.074,313135.95
